time,latitude,longitude,speed,accuracy,bearing
1551713180400,30.023837,120.871104,0,1,0
1551713181347,30.023836,120.871104,0,1,0
1551713182400,30.023835,120.871105,0,1,0
1551713183377,30.023835,120.871105,0,1,0
1551713184373,30.023835,120.871105,0,1,0
1551713185383,30.023834,120.871106,0,1,0
1551713186371,30.023834,120.871106,0,1,0
1551713187348,30.023834,120.871106,0,1,0
1551713188421,30.023834,120.871106,0,1,0
1551713189413,30.023835,120.871106,0,1,0
1551713190416,30.023835,120.871105,0,1,0
1551713191305,30.023835,120.871105,0,1,0
1551713192413,30.023836,120.871107,0,1,0
1551713193411,30.023837,120.871113,2,1,77
1551713194519,30.02384,120.871124,5,1,77
1551713195477,30.023843,120.87114,6,1,78
1551713196515,30.023845,120.871157,6,1,79
1551713197481,30.023849,120.871178,7,1,79
1551713198527,30.023852,120.8712,8,1,81
1551713199475,30.023859,120.871228,11,1,75
1551713200558,30.023873,120.871261,14,1,65
1551713201536,30.023901,120.871294,16,1,45
1551713202528,30.02394,120.871319,18,1,27
1551713203471,30.023988,120.871335,20,1,14
1551713204545,30.024041,120.871337,22,1,359
1551713205500,30.024099,120.871324,24,1,346
1551713206510,30.024162,120.871293,28,1,334
1551713207507,30.02423,120.871253,31,1,333
1551713208592,30.024304,120.871208,34,1,332
1551713209498,30.02438,120.871162,34,1,332
1551713210495,30.024464,120.87111,39,1,331
1551713211508,30.024555,120.871056,41,1,332
1551713212566,30.024648,120.871,42,1,333
1551713213527,30.024745,120.870941,44,1,332
1551713214524,30.024846,120.870878,46,1,331
1551713215527,30.024948,120.870813,46,1,331
1551713216558,30.025054,120.870747,48,1,332
1551713218464,30.025271,120.870613,49,1,332
1551713219459,30.025381,120.870548,49,1,333
1551713219459,30.025381,120.870548,49,1,333
1551713221458,30.025596,120.870415,47,1,332
1551713221458,30.025596,120.870415,47,1,332
1551713223460,30.025801,120.870291,45,1,331
1551713224461,30.025902,120.870229,45,1,332
1551713224527,30.025901,120.870229,45,1,332
1551713226501,30.026106,120.870116,45,1,336
1551713227426,30.026209,120.870063,44,1,336
1551713228467,30.026311,120.87001,44,1,335
1551713229428,30.026408,120.869955,42,1,333
1551713230462,30.026493,120.869907,36,1,333
1551713231421,30.026568,120.869862,32,1,332
1551713232475,30.026636,120.869818,30,1,332
1551713233497,30.026704,120.869781,29,1,334
1551713234500,30.026773,120.869743,30,1,333
1551713234500,30.026773,120.869743,30,1,333
